date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2008-08-04,Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Netherlands,field,T20,2008,Netherlands
2008-10-11,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Pakistan,field,T20,2008/09,Pakistan
2008-10-13,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Sri Lanka,field,T20,2008/09,Sri Lanka
2008-11-05,South Africa,Bangladesh,New Wanderers Stadium,Bangladesh,field,T20,2008/09,South Africa
2008-12-26,New Zealand,West Indies,"Eden Park, Auckland",New Zealand,bat,T20,2008/09,No Result
2008-12-28,New Zealand,West Indies,Seddon Park,New Zealand,bat,T20,2008/09,New Zealand
2009-01-11,Australia,South Africa,Melbourne Cricket Ground,Australia,bat,T20,2008/09,Australia
2009-01-13,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",South Africa,bat,T20,2008/09,Australia
2009-02-10,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,T20,2008/09,India
2009-02-15,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,T20,2008/09,Australia
2009-02-25,New Zealand,India,AMI Stadium,New Zealand,field,T20,2008/09,New Zealand
2009-02-27,New Zealand,India,Westpac Stadium,New Zealand,field,T20,2008/09,New Zealand
2009-03-15,West Indies,England,"Queen's Park Oval, Port of Spain",West Indies,field,T20,2008/09,West Indies
2009-03-27,South Africa,Australia,New Wanderers Stadium,South Africa,field,T20,2008/09,South Africa
2009-03-29,South Africa,Australia,SuperSport Park,Australia,field,T20,2008/09,South Africa
2009-05-07,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2009,Pakistan
2009-06-05,England,Netherlands,Lord's,Netherlands,field,T20,2009,Netherlands
2009-06-06,Australia,West Indies,Kennington Oval,Australia,bat,T20,2009,West Indies
2009-06-06,New Zealand,Scotland,Kennington Oval,New Zealand,field,T20,2009,New Zealand
2009-06-06,Bangladesh,India,Trent Bridge,India,bat,T20,2009,India
2009-06-07,England,Pakistan,Kennington Oval,Pakistan,field,T20,2009,England
2009-06-07,Scotland,South Africa,Kennington Oval,Scotland,field,T20,2009,South Africa
2009-06-08,Bangladesh,Ireland,Trent Bridge,Ireland,field,T20,2009,Ireland
2009-06-08,Australia,Sri Lanka,Trent Bridge,Sri Lanka,field,T20,2009,Sri Lanka
2009-06-09,New Zealand,South Africa,Lord's,New Zealand,field,T20,2009,South Africa
2009-06-09,Netherlands,Pakistan,Lord's,Pakistan,bat,T20,2009,Pakistan
2009-06-10,Sri Lanka,West Indies,Trent Bridge,West Indies,field,T20,2009,Sri Lanka
2009-06-10,India,Ireland,Trent Bridge,India,field,T20,2009,India
2009-06-11,England,South Africa,Trent Bridge,England,bat,T20,2009,South Africa
2009-06-11,Ireland,New Zealand,Trent Bridge,Ireland,field,T20,2009,New Zealand
2009-06-12,India,West Indies,Lord's,India,bat,T20,2009,West Indies
2009-06-12,Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,T20,2009,Sri Lanka
2009-06-13,New Zealand,Pakistan,Kennington Oval,New Zealand,bat,T20,2009,Pakistan
2009-06-13,South Africa,West Indies,Kennington Oval,West Indies,field,T20,2009,South Africa
2009-06-14,England,India,Lord's,India,field,T20,2009,England
2009-06-14,Ireland,Sri Lanka,Lord's,Sri Lanka,bat,T20,2009,Sri Lanka
2009-06-15,Ireland,Pakistan,Kennington Oval,Pakistan,bat,T20,2009,Pakistan
2009-06-15,England,West Indies,Kennington Oval,England,bat,T20,2009,West Indies
2009-06-16,India,South Africa,Trent Bridge,South Africa,bat,T20,2009,South Africa
2009-06-16,New Zealand,Sri Lanka,Trent Bridge,Sri Lanka,bat,T20,2009,Sri Lanka
2009-06-18,Pakistan,South Africa,Trent Bridge,Pakistan,bat,T20,2009,Pakistan
2009-06-19,Sri Lanka,West Indies,Kennington Oval,West Indies,field,T20,2009,Sri Lanka
2009-06-21,Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,T20,2009,Pakistan
2009-08-02,West Indies,Bangladesh,"Warner Park, Basseterre",Bangladesh,bat,T20,2009,West Indies
2009-08-12,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,T20,2009,Pakistan
2009-08-30,England,Australia,Old Trafford,England,field,T20,2009,No Result
2009-09-02,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,T20,2009,New Zealand
2009-09-04,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,T20,2009,New Zealand
2009-11-12,New Zealand,Pakistan,Dubai International Cricket Stadium,New Zealand,field,T20,2009/10,Pakistan
2009-11-13,New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,T20,2009/10,Pakistan
2009-11-13,South Africa,England,New Wanderers Stadium,South Africa,field,T20,2009/10,England
2009-11-15,South Africa,England,SuperSport Park,South Africa,bat,T20,2009/10,South Africa
2009-12-09,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,field,T20,2009/10,Sri Lanka
2009-12-12,India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,bat,T20,2009/10,India
2010-02-01,Afghanistan,Ireland,Colombo (PSS),,,T20,2010,Ireland
2010-02-03,New Zealand,Bangladesh,Seddon Park,Bangladesh,bat,T20,2009/10,New Zealand
2010-02-04,Afghanistan,Canada,Colombo (SSC),,,T20,2010,Afghanistan
2010-02-05,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,T20,2009/10,Australia
2010-02-09,Canada,Netherlands,Dubai International Cricket Stadium,Canada,bat,T20,2009/10,Netherlands
2010-02-09,Afghanistan,Ireland,Dubai (DSC),,,T20,2010,Afghanistan
2010-02-10,Canada,Kenya,Dubai International Cricket Stadium,Kenya,field,T20,2009/10,Kenya
2010-02-10,Afghanistan,Scotland,Abu Dhabi,,,T20,2010,Afghanistan
2010-02-11,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,T20,2009/10,Ireland
2010-02-12,Afghanistan,Netherlands,Dubai (DSC),,,T20,2010,Netherlands
2010-02-13,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,bat,T20,2009/10,Ireland
2010-02-13,Afghanistan,Ireland,Dubai (DSC),,,T20,2010,Afghanistan
2010-02-19,England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,T20,2009/10,England
2010-02-20,England,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2009/10,Pakistan
2010-02-21,Australia,West Indies,Bellerive Oval,Australia,bat,T20,2009/10,Australia
2010-02-23,Australia,West Indies,Sydney Cricket Ground,West Indies,bat,T20,2009/10,Australia
2010-02-26,New Zealand,Australia,Westpac Stadium,New Zealand,bat,T20,2009/10,Australia
2010-02-28,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Zimbabwe,bat,T20,2009/10,Zimbabwe
2010-02-28,New Zealand,Australia,AMI Stadium,New Zealand,bat,T20,2009/10,No Result
2010-04-30,West Indies,Ireland,Providence Stadium,West Indies,bat,T20,2010,West Indies
2010-04-30,New Zealand,Sri Lanka,Providence Stadium,Sri Lanka,bat,T20,2010,New Zealand
2010-05-01,Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,bat,T20,2010,Pakistan
2010-05-01,Afghanistan,India,Gros Islet,,,T20,2010,India
2010-05-02,India,South Africa,"Beausejour Stadium, Gros Islet",South Africa,field,T20,2010,India
2010-05-02,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,bat,T20,2010,Australia
2010-05-03,Sri Lanka,Zimbabwe,Providence Stadium,Sri Lanka,bat,T20,2010,Sri Lanka
2010-05-03,West Indies,England,Providence Stadium,West Indies,field,T20,2010,West Indies
2010-05-04,New Zealand,Zimbabwe,Providence Stadium,New Zealand,field,T20,2010,New Zealand
2010-05-04,England,Ireland,Providence Stadium,Ireland,field,T20,2010,No Result
2010-05-05,Afghanistan,South Africa,Bridgetown,,,T20,2010,South Africa
2010-05-05,Australia,Bangladesh,"Kensington Oval, Bridgetown",Australia,bat,T20,2010,Australia
2010-05-06,England,Pakistan,"Kensington Oval, Bridgetown",England,field,T20,2010,England
2010-05-06,New Zealand,South Africa,"Kensington Oval, Bridgetown",South Africa,bat,T20,2010,South Africa
2010-05-07,Australia,India,"Kensington Oval, Bridgetown",India,field,T20,2010,Australia
2010-05-07,West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Sri Lanka,bat,T20,2010,Sri Lanka
2010-05-08,New Zealand,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,T20,2010,New Zealand
2010-05-08,England,South Africa,"Kensington Oval, Bridgetown",England,bat,T20,2010,England
2010-05-09,Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,bat,T20,2010,Australia
2010-05-09,West Indies,India,"Kensington Oval, Bridgetown",India,field,T20,2010,West Indies
2010-05-10,Pakistan,South Africa,"Beausejour Stadium, Gros Islet",Pakistan,bat,T20,2010,Pakistan
2010-05-10,England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,bat,T20,2010,England
2010-05-11,India,Sri Lanka,"Beausejour Stadium, Gros Islet",India,bat,T20,2010,Sri Lanka
2010-05-11,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,T20,2010,Australia
2010-05-13,England,Sri Lanka,"Beausejour Stadium, Gros Islet",Sri Lanka,bat,T20,2010,England
2010-05-14,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,field,T20,2010,Australia
2010-05-16,Australia,England,"Kensington Oval, Bridgetown",England,field,T20,2010,England
2010-05-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,T20,2010,South Africa
2010-05-20,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,T20,2010,South Africa
2010-05-22,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,T20,2010,New Zealand
2010-05-23,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,T20,2010,Sri Lanka
2010-06-12,Zimbabwe,India,Harare Sports Club,India,field,T20,2010,India
2010-06-13,Zimbabwe,India,Harare Sports Club,India,field,T20,2010,India
2010-07-05,Australia,Pakistan,Edgbaston,Pakistan,bat,T20,2010,Pakistan
2010-07-06,Australia,Pakistan,Edgbaston,Pakistan,bat,T20,2010,Pakistan
2010-09-05,England,Pakistan,Sophia Gardens,England,field,T20,2010,England
2010-09-07,England,Pakistan,Sophia Gardens,Pakistan,bat,T20,2010,England
2010-10-08,South Africa,Zimbabwe,OUTsurance Oval,Zimbabwe,bat,T20,2010/11,South Africa
2010-10-10,South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,bat,T20,2010/11,South Africa
2010-10-26,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,T20,2010/11,South Africa
2010-10-27,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,T20,2010/11,South Africa
2010-10-31,Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,bat,T20,2010/11,Sri Lanka
2010-12-26,New Zealand,Pakistan,Eden Park,New Zealand,field,T20,2010/11,New Zealand
2010-12-28,New Zealand,Pakistan,Seddon Park,Pakistan,field,T20,2010/11,New Zealand
2010-12-30,New Zealand,Pakistan,AMI Stadium,Pakistan,bat,T20,2010/11,Pakistan
2011-01-09,South Africa,India,Moses Mabhida Stadium,India,bat,T20,2010/11,India
2011-01-12,Australia,England,Adelaide Oval,Australia,bat,T20,2010/11,England
2011-01-14,Australia,England,Melbourne Cricket Ground,Australia,bat,T20,2010/11,Australia
2011-04-21,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,bat,T20,2011,West Indies
2011-06-04,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,T20,2011,India
2011-06-25,England,Sri Lanka,County Ground,Sri Lanka,field,T20,2011,Sri Lanka
2011-08-06,Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,field,T20,2011,Sri Lanka
2011-08-08,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,T20,2011,Sri Lanka
2011-08-31,England,India,Old Trafford,India,bat,T20,2011,England
2011-09-16,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,T20,2011,Pakistan
2011-09-18,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,T20,2011,Pakistan
2011-09-23,England,West Indies,Kennington Oval,England,field,T20,2011,England
2011-09-25,England,West Indies,Kennington Oval,England,field,T20,2011,West Indies
2011-10-11,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,T20,2011/12,Bangladesh
2011-10-13,South Africa,Australia,Newlands,South Africa,bat,T20,2011/12,Australia
2011-10-15,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,T20,2011/12,New Zealand
2011-10-16,South Africa,Australia,New Wanderers Stadium,Australia,bat,T20,2011/12,South Africa
2011-10-17,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,T20,2011/12,New Zealand
2011-10-29,India,England,Eden Gardens,India,bat,T20,2011/12,England
2011-11-25,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,bat,T20,2011/12,Pakistan
2011-11-29,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,T20,2011/12,Pakistan
2012-02-01,Australia,India,Stadium Australia,India,field,T20,2011/12,Australia
2012-02-03,Australia,India,Melbourne Cricket Ground,Australia,bat,T20,2011/12,India
2012-02-11,New Zealand,Zimbabwe,Eden Park,Zimbabwe,bat,T20,2011/12,New Zealand
2012-02-14,New Zealand,Zimbabwe,Seddon Park,Zimbabwe,bat,T20,2011/12,New Zealand
2012-02-17,New Zealand,South Africa,Westpac Stadium,New Zealand,field,T20,2011/12,New Zealand
2012-02-19,New Zealand,South Africa,Seddon Park,South Africa,field,T20,2011/12,South Africa
2012-02-22,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,field,T20,2011/12,Ireland
2012-02-22,New Zealand,South Africa,Eden Park,New Zealand,field,T20,2011/12,South Africa
2012-02-23,England,Pakistan,Dubai International Cricket Stadium,England,field,T20,2011/12,Pakistan
2012-02-23,Kenya,Ireland,Mombasa Sports Club Ground,Kenya,bat,T20,2011/12,Ireland
2012-02-24,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,T20,2011/12,Ireland
2012-02-25,England,Pakistan,Dubai International Cricket Stadium,England,bat,T20,2011/12,England
2012-02-27,England,Pakistan,Sheikh Zayed Stadium,England,bat,T20,2011/12,England
2012-03-13,Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,bat,T20,2011/12,Netherlands
2012-03-14,Afghanistan,Netherlands,Dubai (DSC),,,T20,2012,Afghanistan
2012-03-14,Ireland,Kenya,Dubai International Cricket Stadium,Kenya,bat,T20,2011/12,Ireland
2012-03-18,Afghanistan,Canada,ICCA Dubai,,,T20,2012,Afghanistan
2012-03-18,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,T20,2011/12,Ireland
2012-03-22,Canada,Ireland,Dubai International Cricket Stadium,Canada,bat,T20,2011/12,Ireland
2012-03-23,Canada,Scotland,Dubai International Cricket Stadium,Canada,bat,T20,2011/12,Scotland
2012-03-23,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,field,T20,2011/12,Ireland
2012-03-24,Afghanistan,Ireland,Dubai (DSC),,,T20,2012,Ireland
2012-03-27,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,T20,2011/12,Australia
2012-03-30,South Africa,India,New Wanderers Stadium,India,field,T20,2011/12,South Africa
2012-03-30,West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,bat,T20,2011/12,West Indies
2012-06-01,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,T20,2012,Sri Lanka
2012-06-03,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,bat,T20,2012,Pakistan
2012-06-24,England,West Indies,Trent Bridge,West Indies,bat,T20,2012,England
2012-06-30,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,New Zealand,field,T20,2012,West Indies
2012-07-01,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,bat,T20,2012,West Indies
2012-07-18,Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Ireland,field,T20,2012,Bangladesh
2012-07-25,Netherlands,Bangladesh,Sportpark Westvliet,Netherlands,bat,T20,2012,Bangladesh
2012-07-26,Netherlands,Bangladesh,Sportpark Westvliet,Bangladesh,bat,T20,2012,Netherlands
2012-08-07,Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,field,T20,2012,India
2012-09-05,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2012,Pakistan
2012-09-07,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,T20,2012,No Result
2012-09-08,England,South Africa,Riverside Ground,South Africa,field,T20,2012,South Africa
2012-09-10,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2012,Australia
2012-09-10,England,South Africa,Old Trafford,England,field,T20,2012,No Result
2012-09-11,India,New Zealand,"MA Chidambaram Stadium, Chepauk",India,field,T20,2012,New Zealand
2012-09-12,England,South Africa,Edgbaston,South Africa,field,T20,2012,England
2012-09-18,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,field,T20,2012/13,Sri Lanka
2012-09-19,Australia,Ireland,R Premadasa Stadium,Ireland,bat,T20,2012/13,Australia
2012-09-19,Afghanistan,India,Colombo (RPS),,,T20,2012,India
2012-09-20,South Africa,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,field,T20,2012/13,South Africa
2012-09-21,Afghanistan,England,Colombo (RPS),,,T20,2012,England
2012-09-21,Bangladesh,New Zealand,Pallekele International Cricket Stadium,Bangladesh,field,T20,2012/13,New Zealand
2012-09-22,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,T20,2012/13,South Africa
2012-09-22,Australia,West Indies,R Premadasa Stadium,West Indies,bat,T20,2012/13,Australia
2012-09-23,New Zealand,Pakistan,Pallekele International Cricket Stadium,Pakistan,bat,T20,2012/13,Pakistan
2012-09-23,England,India,R Premadasa Stadium,England,field,T20,2012/13,India
2012-09-24,Ireland,West Indies,R Premadasa Stadium,West Indies,field,T20,2012/13,No Result
2012-09-25,Bangladesh,Pakistan,Pallekele International Cricket Stadium,Bangladesh,bat,T20,2012/13,Pakistan
2012-09-27,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,New Zealand,bat,T20,2012/13,No Result
2012-09-27,England,West Indies,Pallekele International Cricket Stadium,West Indies,bat,T20,2012/13,West Indies
2012-09-28,Australia,India,R Premadasa Stadium,India,bat,T20,2012/13,Australia
2012-09-28,Pakistan,South Africa,R Premadasa Stadium,South Africa,bat,T20,2012/13,Pakistan
2012-09-29,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,bat,T20,2012/13,Sri Lanka
2012-09-29,England,New Zealand,Pallekele International Cricket Stadium,New Zealand,bat,T20,2012/13,England
2012-09-30,India,Pakistan,R Premadasa Stadium,Pakistan,bat,T20,2012/13,India
2012-09-30,Australia,South Africa,R Premadasa Stadium,Australia,field,T20,2012/13,Australia
2012-10-01,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,T20,2012/13,Sri Lanka
2012-10-01,New Zealand,West Indies,Pallekele International Cricket Stadium,New Zealand,field,T20,2012/13,No Result
2012-10-02,Australia,Pakistan,R Premadasa Stadium,Australia,field,T20,2012/13,Pakistan
2012-10-02,India,South Africa,R Premadasa Stadium,South Africa,field,T20,2012/13,India
2012-10-04,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,T20,2012/13,Sri Lanka
2012-10-05,Australia,West Indies,R Premadasa Stadium,West Indies,bat,T20,2012/13,West Indies
2012-10-07,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,T20,2012/13,West Indies
2012-10-30,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,field,T20,2012/13,No Result
2012-12-10,Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,bat,T20,2012/13,West Indies
2012-12-20,India,England,Subrata Roy Sahara Stadium,India,field,T20,2012/13,India
2012-12-21,South Africa,New Zealand,Kingsmead,New Zealand,bat,T20,2012/13,South Africa
2012-12-22,India,England,Wankhede Stadium,England,field,T20,2012/13,England
2012-12-23,South Africa,New Zealand,Buffalo Park,New Zealand,field,T20,2012/13,New Zealand
2012-12-25,India,Pakistan,M Chinnaswamy Stadium,Pakistan,field,T20,2012/13,Pakistan
2012-12-26,South Africa,New Zealand,St George's Park,South Africa,bat,T20,2012/13,South Africa
2012-12-28,India,Pakistan,"Sardar Patel Stadium, Motera",Pakistan,field,T20,2012/13,India
2013-01-26,Australia,Sri Lanka,Stadium Australia,Australia,bat,T20,2012/13,Sri Lanka
2013-01-28,Australia,Sri Lanka,Melbourne Cricket Ground,Australia,field,T20,2012/13,Sri Lanka
2013-02-09,New Zealand,England,Eden Park,New Zealand,field,T20,2012/13,England
2013-02-12,New Zealand,England,Seddon Park,England,field,T20,2012/13,New Zealand
2013-02-13,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,bat,T20,2012/13,West Indies
2013-02-15,New Zealand,England,Westpac Stadium,England,field,T20,2012/13,England
2013-03-02,West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",Zimbabwe,bat,T20,2012/13,West Indies
2013-03-03,South Africa,Pakistan,SuperSport Park,Pakistan,bat,T20,2012/13,Pakistan
2013-03-03,West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",West Indies,bat,T20,2012/13,West Indies
2013-03-03,Afghanistan,Scotland,Sharjah,,,T20,2013,Afghanistan
2013-03-04,Afghanistan,Scotland,Sharjah,,,T20,2013,Afghanistan
2013-03-15,Canada,Kenya,ICC Global Cricket Academy,Kenya,bat,T20,2012/13,Canada
2013-03-16,Canada,Kenya,ICC Global Cricket Academy,Kenya,bat,T20,2012/13,Kenya
2013-03-31,Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Bangladesh,field,T20,2012/13,Sri Lanka
2013-04-19,Kenya,Netherlands,Wanderers Cricket Ground,Netherlands,bat,T20,2013,Kenya
2013-04-20,Kenya,Netherlands,Wanderers Cricket Ground,Kenya,field,T20,2013,Kenya
2013-05-11,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,bat,T20,2013,Zimbabwe
2013-05-12,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,bat,T20,2013,Bangladesh
2013-06-25,England,New Zealand,Kennington Oval,England,field,T20,2013,New Zealand
2013-06-27,England,New Zealand,Kennington Oval,New Zealand,field,T20,2013,No Result
2013-07-27,West Indies,Pakistan,"Arnos Vale Ground, Kingstown",West Indies,bat,T20,2013,Pakistan
2013-07-28,West Indies,Pakistan,"Arnos Vale Ground, Kingstown",Pakistan,bat,T20,2013,Pakistan
2013-08-02,Sri Lanka,South Africa,R Premadasa Stadium,South Africa,bat,T20,2013,South Africa
2013-08-04,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,T20,2013,South Africa
2013-08-06,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,T20,2013,Sri Lanka
2013-08-23,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,T20,2013,Pakistan
2013-08-24,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,T20,2013,Pakistan
2013-08-29,England,Australia,The Rose Bowl,England,field,T20,2013,Australia
2013-08-31,England,Australia,Riverside Ground,Australia,field,T20,2013,England
2013-09-30,Afghanistan,Kenya,Sharjah,,,T20,2013,Afghanistan
2013-10-10,India,Australia,Saurashtra Cricket Association Stadium,India,field,T20,2013/14,India
2013-10-11,Afghanistan,Kenya,Sharjah,,,T20,2013,Kenya
2013-11-06,Bangladesh,New Zealand,Shere Bangla National Stadium,New Zealand,bat,T20,2013/14,New Zealand
2013-11-13,Pakistan,South Africa,Dubai International Cricket Stadium,Pakistan,bat,T20,2013/14,South Africa
2013-11-15,Afghanistan,Netherlands,Sharjah,,,T20,2013,Netherlands
2013-11-15,Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,bat,T20,2013/14,South Africa
2013-11-16,Afghanistan,Scotland,Sharjah,,,T20,2013,Afghanistan
2013-11-16,Canada,Ireland,Sheikh Zayed Stadium,Canada,field,T20,2013/14,Ireland
2013-11-19,Kenya,Scotland,ICC Academy,Kenya,bat,T20,2013/14,Kenya
2013-11-20,South Africa,Pakistan,New Wanderers Stadium,Pakistan,field,T20,2013/14,South Africa
2013-11-21,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,field,T20,2013/14,Sri Lanka
2013-11-22,Netherlands,Scotland,ICC Academy,Netherlands,field,T20,2013/14,Scotland
2013-11-22,South Africa,Pakistan,Newlands,Pakistan,bat,T20,2013/14,Pakistan
2013-11-23,Kenya,Netherlands,ICC Academy,Netherlands,bat,T20,2013/14,Netherlands
2013-11-24,Afghanistan,Kenya,Sharjah,,,T20,2013,Afghanistan
2013-11-26,Canada,Kenya,Sharjah Cricket Stadium,Kenya,bat,T20,2013/14,Kenya
2013-11-28,Netherlands,Scotland,Sheikh Zayed Stadium,Scotland,bat,T20,2013/14,Netherlands
2013-11-30,Afghanistan,Ireland,Abu Dhabi,,,T20,2013,Ireland
2013-12-08,Afghanistan,Pakistan,Sharjah,,,T20,2013,Pakistan
2013-12-11,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,field,T20,2013/14,Pakistan
2013-12-13,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,field,T20,2013/14,Sri Lanka
2014-01-11,New Zealand,West Indies,Eden Park,New Zealand,bat,T20,2013/14,New Zealand
2014-01-15,New Zealand,West Indies,Westpac Stadium,West Indies,bat,T20,2013/14,New Zealand
2014-01-29,Australia,England,Bellerive Oval,Australia,bat,T20,2013/14,Australia
2014-01-31,Australia,England,Melbourne Cricket Ground,England,bat,T20,2013/14,Australia
2014-02-02,Australia,England,Stadium Australia,Australia,bat,T20,2013/14,Australia
2014-02-12,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,T20,2013/14,Sri Lanka
2014-02-14,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Bangladesh,bat,T20,2013/14,Sri Lanka
2014-02-19,West Indies,Ireland,"Sabina Park, Kingston",West Indies,bat,T20,2013/14,Ireland
2014-02-21,West Indies,Ireland,"Sabina Park, Kingston",Ireland,field,T20,2013/14,West Indies
2014-03-09,West Indies,England,"Kensington Oval, Bridgetown",West Indies,bat,T20,2013/14,West Indies
2014-03-11,West Indies,England,"Kensington Oval, Bridgetown",England,bat,T20,2013/14,West Indies
2014-03-12,South Africa,Australia,Kingsmead,Australia,field,T20,2013/14,Australia
2014-03-13,West Indies,England,"Kensington Oval, Bridgetown",England,bat,T20,2013/14,England
2014-03-14,South Africa,Australia,SuperSport Park,Australia,field,T20,2013/14,Australia
2014-03-16,Hong Kong,Nepal,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,T20,2013/14,Nepal
2014-03-16,Bangladesh,Afghanistan,Mirpur,,,T20,2014,Bangladesh
2014-03-17,Ireland,Zimbabwe,Sylhet Stadium,Ireland,field,T20,2013/14,Ireland
2014-03-17,Netherlands,United Arab Emirates,Sylhet Stadium,United Arab Emirates,bat,T20,2013/14,Netherlands
